num,year,sikibetu1,sikibetu2,
806,1715,806s,806n,
806,1716,806s,806n,
806,1717,806s,806n,
806,1718,806s,806n,
806,1719,806s,806n,
806,1720,806s,806n,
806,1721,806s,806n,
806,1722,806s,806n,
806,1723,806s,806n,
806,1724,806s,806n,
806,1725,806s,806n,
806,1726,806s,806n,
806,1727,806s,806n,
806,1728,806s,806n,
806,1729,806s,806n,
806,1730,806s,806n,
806,1731,806s,806n,
818,1822,818s,818n,
818,1823,818s,818n,
818,1824,818s,818n,
818,1825,818s,818n,
818,1826,818s,818n,
818,1827,818s,818n,
818,1828,818s,818n,
818,1829,818s,818n,
818,1830,818s,818n,
818,1831,818s,818n,
818,1832,818s,818n,
818,1833,818s,818n,
818,1834,818s,818n,
818,1835,818s,818n,
818,1836,818s,818n,
818,1837,818s,818n,
818,1838,818s,818n,
818,1839,818s,818n,
818,1840,818s,818n,
818,1841,818s,818n,
818,1842,818s,818n,
818,1843,818s,818n,
818,1844,818s,818n,
729,1846,729s,729ne,108.71
285,1859,285s,285n,
285,1860,285s,285n,
285,1861,285s,285n,
285,1862,285s,285n,
285,1863,285s,285n,
285,1864,285s,285n,
285,1865,285s,285n,
285,1866,285s,285n,
285,1867,285s,285n,
285,1868,285s,285n,
285,1869,285s,285n,
285,1870,285s,285n,
285,1871,285s,285n,
285,1872,285s,285n,
285,1873,285s,285n,
285,1874,285s,285n,
285,1875,285s,285n,
285,1876,285s,285n,
285,1877,285s,285n,
285,1878,285s,285n,
285,1879,285s,285n,
285,1880,285s,285n,
224,1881,224s,224s,
285,1881,285s,285n,
224,1882,224s,224s,
285,1882,285s,285n,
94,1883,94sw,94ne,
224,1883,224s,224s,
285,1883,285s,285n,
94,1884,94sw,94ne,
224,1884,224s,224s,
285,1884,285s,285n,
94,1885,94sw,94ne,
224,1885,224s,224s,
285,1885,285s,285n,
94,1886,94sw,94ne,
224,1886,224s,224s,
285,1886,285s,285n,
94,1887,94sw,94ne,
224,1887,224s,224s,
285,1887,285s,285n,
94,1888,94sw,94ne,
224,1888,224s,224s,
285,1888,285s,285n,
94,1889,94sw,94ne,
224,1889,224s,224s,
285,1889,285s,285n,
94,1890,94sw,94ne,
224,1890,224s,224s,
285,1890,285s,285n,
94,1891,94sw,94ne,
224,1891,224s,224s,
285,1891,285s,285n,
94,1892,94sw,94ne,
224,1892,224s,224s,
285,1892,285s,285n,
423,1892,423sw,423ne,
94,1893,94sw,94ne,
224,1893,224s,224s,
285,1893,285s,285n,
423,1893,423sw,423ne,
94,1894,94sw,94ne,
224,1894,224s,224s,
285,1894,285s,285n,
423,1894,423sw,423ne,
94,1895,94sw,94ne,
224,1895,224s,224s,
285,1895,285s,285n,
423,1895,423sw,423ne,
94,1896,94sw,94ne,
224,1896,224s,224s,
285,1896,285s,285n,
423,1896,423sw,423ne,
32,1897,32w,32e,
94,1897,94sw,94ne,
224,1897,224s,224s,
285,1897,285s,285n,
423,1897,423sw,423ne,
32,1898,32w,32e,
94,1898,94sw,94ne,
224,1898,224s,224s,
285,1898,285s,285n,
423,1898,423sw,423ne,
32,1899,32w,32e,
94,1899,94sw,94ne,
224,1899,224s,224s,
285,1899,285s,285n,
423,1899,423sw,423ne,
32,1900,32w,32e,
94,1900,94sw,94ne,
179,1900,179s,179n,
224,1900,224s,224s,
285,1900,285s,285n,
423,1900,423sw,423ne,
32,1901,32w,32e,
94,1901,94sw,94ne,
179,1901,179s,179n,
224,1901,224s,224s,
285,1901,285s,285n,
423,1901,423sw,423ne,
32,1902,32w,32e,
94,1902,94sw,94ne,
179,1902,179s,179n,
224,1902,224s,224s,
285,1902,285s,285n,
423,1902,423sw,423ne,
32,1903,32w,32e,
94,1903,94sw,94ne,
179,1903,179s,179n,
224,1903,224s,224s,
285,1903,285s,285n,
423,1903,423sw,423ne,
32,1904,32w,32e,
94,1904,94sw,94ne,
179,1904,179s,179n,
224,1904,224s,224s,
285,1904,285s,285n,
423,1904,423sw,423ne,
32,1905,32w,32e,
94,1905,94sw,94ne,
179,1905,179s,179n,
224,1905,224s,224s,
285,1905,285s,285n,
423,1905,423sw,423ne,
32,1906,32w,32e,
94,1906,94sw,94ne,
179,1906,179s,179n,
224,1906,224s,224s,
285,1906,285s,285n,
423,1906,423sw,423ne,
32,1907,32w,32e,
94,1907,94sw,94ne,
179,1907,179s,179n,
224,1907,224s,224s,
285,1907,285s,285n,
423,1907,423sw,423ne,
32,1908,32w,32e,
94,1908,94sw,94ne,
179,1908,179s,179n,
224,1908,224s,224s,
285,1908,285s,285n,
423,1908,423sw,423ne,
32,1909,32w,32e,
94,1909,94sw,94ne,
177,1909,177nw,177se,
179,1909,179s,179n,
224,1909,224s,224s,
285,1909,285s,285n,
423,1909,423sw,423ne,
32,1910,32w,32e,
94,1910,94sw,94ne,
177,1910,177nw,177se,
179,1910,179s,179n,
224,1910,224s,224s,
285,1910,285s,285n,
32,1911,32w,32e,
94,1911,94sw,94ne,
177,1911,177nw,177se,
179,1911,179s,179n,
224,1911,224s,224s,
285,1911,285s,285n,
32,1912,32w,32e,
94,1912,94sw,94ne,
177,1912,177nw,177se,
179,1912,179s,179n,
224,1912,224s,224s,
285,1912,285s,285n,
32,1913,32w,32e,
94,1913,94sw,94ne,
177,1913,177nw,177se,
179,1913,179s,179n,
224,1913,224s,224s,
285,1913,285s,285n,
32,1914,32w,32e,
94,1914,94sw,94ne,
177,1914,177nw,177se,
179,1914,179s,179n,
224,1914,224s,224s,
285,1914,285s,285n,
32,1915,32w,32e,
94,1915,94sw,94ne,
177,1915,177nw,177se,
179,1915,179s,179n,
224,1915,224s,224s,
285,1915,285s,285n,
729,1915,729s,729sw,40.75
32,1916,32w,32e,
94,1916,94sw,94ne,
177,1916,177nw,177se,
179,1916,179s,179n,
224,1916,224s,224s,
285,1916,285s,285n,
729,1916,729s,729sw,
32,1917,32w,32e,
91,1917,91se,91ne,
94,1917,94sw,94ne,
177,1917,177nw,177se,
179,1917,179s,179n,
224,1917,224s,224s,
285,1917,285s,285n,
562,1917,562se,562se,
729,1917,729s,729sw,
32,1918,32w,32e,
91,1918,91se,91ne,
94,1918,94sw,94ne,
177,1918,177nw,177se,
179,1918,179s,179n,
224,1918,224s,224s,
285,1918,285s,285n,
562,1918,562se,562se,
729,1918,729s,729sw,
32,1919,32w,32e,
91,1919,91se,91ne,
94,1919,94sw,94ne,
177,1919,177nw,177se,
179,1919,179s,179n,
224,1919,224s,224s,
285,1919,285s,285n,
562,1919,562se,562se,
729,1919,729s,729sw,
32,1920,32w,32e,
91,1920,91se,91ne,
94,1920,94sw,94ne,
177,1920,177nw,177se,
179,1920,179s,179n,
224,1920,224s,224s,
285,1920,285s,285n,
562,1920,562se,562se,
729,1920,729s,729sw,
32,1921,32w,32e,
91,1921,91se,91ne,
94,1921,94sw,94ne,
170,1921,170s,170n,
177,1921,177nw,177se,
179,1921,179s,179n,
224,1921,224s,224s,
285,1921,285s,285n,
411,1921,411s,411n,
562,1921,562se,562se,
729,1921,729s,729sw,
