pre1,pre2,kyori
北海道,北海道,0
北海道,青森県,253.8
北海道,岩手県,373.6
北海道,宮城県,534
北海道,秋田県,385.9
北海道,山形県,542.1
北海道,福島県,594.8
北海道,茨城県,750.4
北海道,栃木県,732.3
北海道,群馬県,766.3
北海道,埼玉県,813.4
北海道,千葉県,834.8
北海道,東京都,831
北海道,神奈川県,858.2
北海道,新潟県,606
北海道,富山県,790.4
北海道,石川県,823.9
北海道,福井県,892.7
北海道,山梨県,855.6
北海道,長野県,761.7
北海道,岐阜県,940.4
北海道,静岡県,933.6
北海道,愛知県,955.4
北海道,三重県,1015.5
北海道,滋賀県,1012.1
北海道,京都府,1015.1
北海道,大阪府,1057.9
北海道,兵庫県,1071.6
北海道,奈良県,1045.4
北海道,和歌山県,1118.1
北海道,鳥取県,1038.7
北海道,島根県,1104.7
北海道,岡山県,1132
北海道,広島県,1232.6
北海道,山口県,1306.1
北海道,徳島県,1159.9
北海道,香川県,1157.2
北海道,愛媛県,1267
北海道,高知県,1255.8
北海道,福岡県,1417.1
北海道,佐賀県,1454.9
北海道,長崎県,1523.4
北海道,熊本県,1470.5
北海道,大分県,1382.7
北海道,宮崎県,1514.9
北海道,鹿児島県,1592.3
北海道,沖縄県,2243.8
青森県,北海道,253.8
青森県,青森県,0
青森県,岩手県,129.3
青森県,宮城県,284
青森県,秋田県,134.2
青森県,山形県,288.7
青森県,福島県,342.1
青森県,茨城県,498.3
青森県,栃木県,478.6
青森県,群馬県,513.4
青森県,埼玉県,559.6
青森県,千葉県,581.9
青森県,東京都,577.3
青森県,神奈川県,604.5
青森県,新潟県,356.5
青森県,富山県,551.4
青森県,石川県,590.2
青森県,福井県,659.1
青森県,山梨県,603.5
青森県,長野県,513.8
青森県,岐阜県,698.3
青森県,静岡県,681.3
青森県,愛知県,711
青森県,三重県,772.1
青森県,滋賀県,774.8
青森県,京都府,778.7
青森県,大阪府,821.7
青森県,兵庫県,838.1
青森県,奈良県,806.7
青森県,和歌山県,882.1
青森県,鳥取県,820.2
青森県,島根県,897.8
青森県,岡山県,909.1
青森県,広島県,1020.6
青森県,山口県,1100.9
青森県,徳島県,927.8
青森県,香川県,930.9
青森県,愛媛県,1047.8
青森県,高知県,1028.6
青森県,福岡県,1215.4
青森県,佐賀県,1251.1
青森県,長崎県,1318.9
青森県,熊本県,1259.7
青森県,大分県,1168.4
青森県,宮崎県,1293.5
青森県,鹿児島県,1374.7
青森県,沖縄県,2019.4
岩手県,北海道,373.6
岩手県,青森県,129.3
岩手県,岩手県,0
岩手県,宮城県,161.1
岩手県,秋田県,90.1
岩手県,山形県,176.2
岩手県,福島県,224.9
岩手県,茨城県,378.3
岩手県,栃木県,365.6
岩手県,群馬県,410.9
岩手県,埼玉県,447
岩手県,千葉県,463.9
岩手県,東京都,463.8
岩手県,神奈川県,490.8
岩手県,新潟県,272.4
岩手県,富山県,480.2
岩手県,石川県,525.8
岩手県,福井県,592.4
岩手県,山梨県,502.9
岩手県,長野県,427.2
岩手県,岐阜県,618.2
岩手県,静岡県,579.1
岩手県,愛知県,626.9
岩手県,三重県,688.6
岩手県,滋賀県,700.6
岩手県,京都府,705.8
岩手県,大阪府,748.1
岩手県,兵庫県,767.9
岩手県,奈良県,729.9
岩手県,和歌山県,808
岩手県,鳥取県,767.7
岩手県,島根県,855.4
岩手県,岡山県,850.3
岩手県,広島県,971.2
岩手県,山口県,1056.6
岩手県,徳島県,857.9
岩手県,香川県,868
岩手県,愛媛県,991
岩手県,高知県,963.4
岩手県,福岡県,1172.9
岩手県,佐賀県,1206.4
岩手県,長崎県,1272.9
岩手県,熊本県,1208.5
岩手県,大分県,1115
岩手県,宮崎県,1231.7
岩手県,鹿児島県,1316.2
岩手県,沖縄県,1951
宮城県,北海道,534
宮城県,青森県,284
宮城県,岩手県,161.1
宮城県,宮城県,0
宮城県,秋田県,174.2
宮城県,山形県,44.6
宮城県,福島県,67.7
宮城県,茨城県,217.2
宮城県,栃木県,208.3
宮城県,群馬県,263
宮城県,埼玉県,288.9
宮城県,千葉県,303.1
宮城県,東京都,304.9
宮城県,神奈川県,331.7
宮城県,新潟県,167.2
宮城県,富山県,367.8
宮城県,石川県,419.2
宮城県,福井県,479.9
宮城県,山梨県,354.5
宮城県,長野県,298.1
宮城県,岐阜県,488.8
