year,origin,destination,gender,migration
2015,北海道,北海道,総数,0
2015,北海道,北海道,男,0
2015,北海道,北海道,女,0
2015,青森県,北海道,総数,1969
2015,青森県,北海道,男,1145
2015,青森県,北海道,女,824
2015,岩手県,北海道,総数,929
2015,岩手県,北海道,男,577
2015,岩手県,北海道,女,352
2015,宮城県,北海道,総数,2126
2015,宮城県,北海道,男,1306
2015,宮城県,北海道,女,820
2015,秋田県,北海道,総数,576
2015,秋田県,北海道,男,346
2015,秋田県,北海道,女,230
2015,山形県,北海道,総数,419
2015,山形県,北海道,男,267
2015,山形県,北海道,女,152
2015,福島県,北海道,総数,757
2015,福島県,北海道,男,508
2015,福島県,北海道,女,249
2015,茨城県,北海道,総数,1031
2015,茨城県,北海道,男,651
2015,茨城県,北海道,女,380
2015,栃木県,北海道,総数,582
2015,栃木県,北海道,男,359
2015,栃木県,北海道,女,223
2015,群馬県,北海道,総数,576
2015,群馬県,北海道,男,413
2015,群馬県,北海道,女,163
2015,埼玉県,北海道,総数,3736
2015,埼玉県,北海道,男,2313
2015,埼玉県,北海道,女,1423
2015,千葉県,北海道,総数,3504
2015,千葉県,北海道,男,2121
2015,千葉県,北海道,女,1383
2015,東京都,北海道,総数,10216
2015,東京都,北海道,男,5956
2015,東京都,北海道,女,4260
2015,神奈川県,北海道,総数,5386
2015,神奈川県,北海道,男,3221
2015,神奈川県,北海道,女,2165
2015,新潟県,北海道,総数,628
2015,新潟県,北海道,男,364
2015,新潟県,北海道,女,264
2015,富山県,北海道,総数,264
2015,富山県,北海道,男,159
2015,富山県,北海道,女,105
2015,石川県,北海道,総数,355
2015,石川県,北海道,男,216
2015,石川県,北海道,女,139
2015,福井県,北海道,総数,162
2015,福井県,北海道,男,94
2015,福井県,北海道,女,68
2015,山梨県,北海道,総数,239
2015,山梨県,北海道,男,160
2015,山梨県,北海道,女,79
2015,長野県,北海道,総数,516
2015,長野県,北海道,男,307
2015,長野県,北海道,女,209
2015,岐阜県,北海道,総数,364
2015,岐阜県,北海道,男,230
2015,岐阜県,北海道,女,134
2015,静岡県,北海道,総数,1138
2015,静岡県,北海道,男,720
2015,静岡県,北海道,女,418
