year,origin,destination,gender,migration
2018,北海道,北海道,総数,0
2018,北海道,北海道,男,0
2018,北海道,北海道,女,0
2018,青森県,北海道,総数,1998
2018,青森県,北海道,男,1179
2018,青森県,北海道,女,819
2018,岩手県,北海道,総数,986
2018,岩手県,北海道,男,582
2018,岩手県,北海道,女,404
2018,宮城県,北海道,総数,2229
2018,宮城県,北海道,男,1359
2018,宮城県,北海道,女,870
2018,秋田県,北海道,総数,566
2018,秋田県,北海道,男,318
2018,秋田県,北海道,女,248
2018,山形県,北海道,総数,486
2018,山形県,北海道,男,288
2018,山形県,北海道,女,198
2018,福島県,北海道,総数,710
2018,福島県,北海道,男,454
2018,福島県,北海道,女,256
2018,茨城県,北海道,総数,1084
2018,茨城県,北海道,男,680
2018,茨城県,北海道,女,404
2018,栃木県,北海道,総数,629
2018,栃木県,北海道,男,384
2018,栃木県,北海道,女,245
2018,群馬県,北海道,総数,443
2018,群馬県,北海道,男,290
2018,群馬県,北海道,女,153
2018,埼玉県,北海道,総数,3494
2018,埼玉県,北海道,男,2163
2018,埼玉県,北海道,女,1331
2018,千葉県,北海道,総数,3280
2018,千葉県,北海道,男,1977
2018,千葉県,北海道,女,1303
2018,東京都,北海道,総数,10143
2018,東京都,北海道,男,5916
2018,東京都,北海道,女,4227
2018,神奈川県,北海道,総数,5142
2018,神奈川県,北海道,男,3084
2018,神奈川県,北海道,女,2058
2018,新潟県,北海道,総数,611
2018,新潟県,北海道,男,378
2018,新潟県,北海道,女,233
2018,富山県,北海道,総数,237
2018,富山県,北海道,男,151
2018,富山県,北海道,女,86
2018,石川県,北海道,総数,354
2018,石川県,北海道,男,230
2018,石川県,北海道,女,124
2018,福井県,北海道,総数,134
2018,福井県,北海道,男,89
2018,福井県,北海道,女,45
2018,山梨県,北海道,総数,256
2018,山梨県,北海道,男,161
2018,山梨県,北海道,女,95
2018,長野県,北海道,総数,568
2018,長野県,北海道,男,349
2018,長野県,北海道,女,219
2018,岐阜県,北海道,総数,362
2018,岐阜県,北海道,男,222
2018,岐阜県,北海道,女,140
2018,静岡県,北海道,総数,1221
2018,静岡県,北海道,男,774
2018,静岡県,北海道,女,447
2018,愛知県,北海道,総数,2281
2018,愛知県,北海道,男,1427
2018,愛知県,北海道,女,854
2018,三重県,北海道,総数,387
2018,三重県,北海道,男,235
2018,三重県,北海道,女,152
2018,滋賀県,北海道,総数,346
2018,滋賀県,北海道,男,213
2018,滋賀県,北海道,女,133
2018,京都府,北海道,総数,800
2018,京都府,北海道,男,457
2018,京都府,北海道,女,343
2018,大阪府,北海道,総数,2037
2018,大阪府,北海道,男,1174
2018,大阪府,北海道,女,863
2018,兵庫県,北海道,総数,1230
2018,兵庫県,北海道,男,693
2018,兵庫県,北海道,女,537
2018,奈良県,北海道,総数,275
2018,奈良県,北海道,男,153
2018,奈良県,北海道,女,122
2018,和歌山県,北海道,総数,137
2018,和歌山県,北海道,男,82
2018,和歌山県,北海道,女,55
2018,鳥取県,北海道,総数,101
2018,鳥取県,北海道,男,54
2018,鳥取県,北海道,女,47
2018,島根県,北海道,総数,89
2018,島根県,北海道,男,51
2018,島根県,北海道,女,38
2018,岡山県,北海道,総数,273
2018,岡山県,北海道,男,163
2018,岡山県,北海道,女,110
2018,広島県,北海道,総数,536
2018,広島県,北海道,男,304
2018,広島県,北海道,女,232
2018,山口県,北海道,総数,197
2018,山口県,北海道,男,117
2018,山口県,北海道,女,80
2018,徳島県,北海道,総数,96
2018,徳島県,北海道,男,57
2018,徳島県,北海道,女,39
2018,香川県,北海道,総数,212
2018,香川県,北海道,男,120
2018,香川県,北海道,女,92
2018,愛媛県,北海道,総数,190
2018,愛媛県,北海道,男,116
2018,愛媛県,北海道,女,74
2018,高知県,北海道,総数,125
2018,高知県,北海道,男,68
2018,高知県,北海道,女,57
2018,福岡県,北海道,総数,1177
2018,福岡県,北海道,男,708
2018,福岡県,北海道,女,469
2018,佐賀県,北海道,総数,85
2018,佐賀県,北海道,男,52
2018,佐賀県,北海道,女,33
2018,長崎県,北海道,総数,206
2018,長崎県,北海道,男,116
2018,長崎県,北海道,女,90
2018,熊本県,北海道,総数,287
2018,熊本県,北海道,男,157
2018,熊本県,北海道,女,130
2018,大分県,北海道,総数,148
2018,大分県,北海道,男,86
2018,大分県,北海道,女,62
2018,宮崎県,北海道,総数,154
2018,宮崎県,北海道,男,106
2018,宮崎県,北海道,女,48
2018,鹿児島県,北海道,総数,251
2018,鹿児島県,北海道,男,144
2018,鹿児島県,北海道,女,107
2018,沖縄県,北海道,総数,716
2018,沖縄県,北海道,男,382
2018,沖縄県,北海道,女,334
2018,北海道,青森県,総数,1644
2018,北海道,青森県,男,954
2018,北海道,青森県,女,690
2018,青森県,青森県,総数,0
2018,青森県,青森県,男,0
2018,青森県,青森県,女,0
2018,岩手県,青森県,総数,1771
2018,岩手県,青森県,男,934
2018,岩手県,青森県,女,837
2018,宮城県,青森県,総数,1920
2018,宮城県,青森県,男,1168
2018,宮城県,青森県,女,752
2018,秋田県,青森県,総数,906
2018,秋田県,青森県,男,531
2018,秋田県,青森県,女,375
2018,山形県,青森県,総数,281
2018,山形県,青森県,男,168
2018,山形県,青森県,女,113
2018,福島県,青森県,総数,408
2018,福島県,青森県,男,247
2018,福島県,青森県,女,161
2018,茨城県,青森県,総数,354
2018,茨城県,青森県,男,227
2018,茨城県,青森県,女,127
2018,栃木県,青森県,総数,213
2018,栃木県,青森県,男,136
2018,栃木県,青森県,女,77
2018,群馬県,青森県,総数,179
2018,群馬県,青森県,男,102
2018,群馬県,青森県,女,77
2018,埼玉県,青森県,総数,1163
2018,埼玉県,青森県,男,700
2018,埼玉県,青森県,女,463
2018,千葉県,青森県,総数,884
2018,千葉県,青森県,男,574
2018,千葉県,青森県,女,310
2018,東京都,青森県,総数,2477
2018,東京都,青森県,男,1432
2018,東京都,青森県,女,1045
2018,神奈川県,青森県,総数,1591
2018,神奈川県,青森県,男,989
2018,神奈川県,青森県,女,602
2018,新潟県,青森県,総数,126
2018,新潟県,青森県,男,83
2018,新潟県,青森県,女,43
2018,富山県,青森県,総数,54
2018,富山県,青森県,男,34
2018,富山県,青森県,女,20
2018,石川県,青森県,総数,85
2018,石川県,青森県,男,47
2018,石川県,青森県,女,38
2018,福井県,青森県,総数,36
2018,福井県,青森県,男,28
2018,福井県,青森県,女,8
2018,山梨県,青森県,総数,43
2018,山梨県,青森県,男,25
2018,山梨県,青森県,女,18
2018,長野県,青森県,総数,94
2018,長野県,青森県,男,53
2018,長野県,青森県,女,41
2018,岐阜県,青森県,総数,76
2018,岐阜県,青森県,男,49
2018,岐阜県,青森県,女,27
2018,静岡県,青森県,総数,321
2018,静岡県,青森県,男,211
2018,静岡県,青森県,女,110
2018,愛知県,青森県,総数,357
2018,愛知県,青森県,男,203
